Division Code,#,Comp. Prd Name,Stockist product,Match,Pack,OPSTK,PURCH,SALE,SALE VAL,IN/OT,STOCK,STK VAL,DEC,NOV,STK120,EXP3M
,1,—,ABOCAL 500MG TAB,unmatched,15TAB,0,0,0,—,0,0,—,0,0,0,0
,2,—,ABTIKA 60MG TAB,unmatched,10TAB,0,0,0,—,0,0,—,0,0,0,0
,3,—,ABTIKA 90MG TAB,unmatched,10TAB,0,0,0,—,0,0,—,0,0,0,0
,4,—,ABVIDA 50MG TAB,unmatched,15TAB,20.00,0,0,—,0,20.00,"₹2,823",0,0,20.00,0
,5,—,ABVIDA M 50MG/500MG TAB,unmatched,15TAB,13.00,10.00,9.00,"₹1,863",0,14.00,"₹2,608",2.00,2.00,0,0
,6,—,ABVIDA TRIO 500MG TAB,unmatched,10,9.00,0,0,—,0,9.00,"₹1,058",7.00,7.00,0,0
,7,—,ACITROM 1.5MG,unmatched,30,38.00,0,0,—,-38.00,0,—,0,0,0,0
,8,—,ACITROM 1MG TAB,unmatched,30TAB,24.00,0,2.00,₹503,0,22.00,"₹4,983",12.00,17.00,0,0
,9,—,ACITROM 2.5MG TAB,unmatched,30TAB,0,0,0,—,0,0,—,0,0,0,0
,10,—,ACITROM 2MG TAB,unmatched,30TAB,14.00,10.00,5.00,"₹1,971",0,19.00,"₹7,415",17.00,8.00,0,0
,11,—,ACITROM 3.5MG,unmatched,30,43.00,0,0,—,-43.00,0,—,0,0,0,0
,12,—,ACITROM 3MG TAB,unmatched,30TAB,16.00,0,7.00,"₹3,526",0,9.00,"₹4,080",19.00,10.00,0,0
,13,—,ACITROM 4MG TAB,unmatched,30TAB,19.00,10.00,10.00,"₹5,374",0,19.00,"₹9,189",12.00,10.00,0,0
,14,—,ACUVERT 5MG TAB,unmatched,15,0,0,0,—,0,0,—,0,0,0,0
,15,—,AMISANT 100MG TAB,unmatched,10TAB,10.00,0,0,—,0,10.00,"₹1,364",0,0,10.00,0
,16,—,AMISANT 50MG TAB,unmatched,10TAB,10.00,0,0,—,0,10.00,₹664,0,0,10.00,0
,17,—,ANAFORTAN INJ,unmatched,2ML,0,100.00,0,—,0,100.00,"₹2,561",100.00,0,0,0
,18,—,ANAFORTAN TAB,unmatched,15TAB,13.00,0,1.00,₹72,0,12.00,₹773,11.00,10.00,0,0
,19,—,AQUAVIRON CAP,unmatched,10CAP,13.00,0,2.00,₹368,0,11.00,"₹1,822",2.00,0,11.00,0
,20,—,AQUAVIRON INJ,unmatched,1ML,72.00,0,6.00,"₹1,109",0,66.00,"₹10,982",156.00,36.00,0,0
,21,—,ARACHITOL 6L INJ,unmatched,6X1ML,70.00,20.00,54.00,"₹20,930",0,36.00,"₹12,558",58.00,48.00,0,0
,22,—,ARACHITOL NANO 60K IU SF,unmatched,4X5ML,116.00,120.00,170.00,"₹53,381",0,66.00,"₹19,573",122.00,87.00,0,0
,23,—,B STIL 24MG TAB,unmatched,10TAB,0,0,0,—,0,0,—,0,0,0,0
,24,—,BASITON FORTE TAB,unmatched,15TAB,8.00,0,4.00,₹174,0,4.00,₹156,6.00,8.00,4.00,0
,25,—,BETOGAIN SYRUP,unmatched,200ML,0,0,0,—,0,0,—,0,0,0,0
,26,—,BETONIN AST,unmatched,225ML,46.00,40.00,37.00,"₹6,996",0,49.00,"₹8,338",34.00,40.00,0,0
,27,—,BETONIN AST medica,unmatched,210ML,0,0,0,—,0,0,—,0,0,0,0
,28,—,BILAZEST 20MG TAB,unmatched,10,49.00,0,30.00,"₹4,659",0,19.00,"₹2,655",70.00,59.00,0,0
