stockist_code,year,month,month_label,pdf_file_count,total_pages,single_page_pdf_count,multi_page_pdf_count,unreadable_pdf_count,page_1_count,page_2_count,page_3_count,page_4_plus_count,max_pages_in_a_pdf,avg_pages_per_pdf
10000002,2025,12,2025-12,1,24,0,1,0,0,0,0,1,24,24.0
10000002,2026,1,2026-01,1,4,0,1,0,0,0,0,1,4,4.0
10000002,2026,2,2026-02,1,24,0,1,0,0,0,0,1,24,24.0
10000002,2026,3,2026-03,1,24,0,1,0,0,0,0,1,24,24.0
10000003,2025,12,2025-12,4,4,4,0,0,4,0,0,0,1,1.0
10000003,2026,1,2026-01,5,5,5,0,0,5,0,0,0,1,1.0
10000003,2026,2,2026-02,4,4,4,0,0,4,0,0,0,1,1.0
10000019,2026,2,2026-02,2,2,2,0,0,2,0,0,0,1,1.0
10000019,2026,3,2026-03,2,2,2,0,0,2,0,0,0,1,1.0
10000023,2026,2,2026-02,30,30,30,0,0,30,0,0,0,1,1.0
10000029,2025,12,2025-12,7,9,5,2,0,5,2,0,0,2,1.29
10000029,2026,1,2026-01,1,3,0,1,0,0,0,1,0,3,3.0
10000029,2026,2,2026-02,10,16,6,4,0,6,2,2,0,3,1.6
10000047,2025,12,2025-12,37,47,32,5,0,32,0,5,0,3,1.27
10000047,2026,1,2026-01,34,38,32,2,0,32,0,2,0,3,1.12
10000047,2026,2,2026-02,18,22,16,2,0,16,0,2,0,3,1.22
10000047,2026,3,2026-03,51,55,48,3,0,48,2,1,0,3,1.08
10000067,2026,1,2026-01,8,8,8,0,0,8,0,0,0,1,1.0
10000067,2026,2,2026-02,32,32,32,0,0,32,0,0,0,1,1.0
10000067,2026,3,2026-03,12,12,12,0,0,12,0,0,0,1,1.0
10000068,2026,1,2026-01,7,25,4,3,0,4,0,1,2,9,3.57
10000068,2026,2,2026-02,13,23,11,2,0,11,0,1,1,9,1.77
10000068,2026,3,2026-03,15,43,10,5,0,10,0,2,3,9,2.87
10000089,2026,2,2026-02,6,6,6,0,0,6,0,0,0,1,1.0
10000089,2026,3,2026-03,2,2,2,0,0,2,0,0,0,1,1.0
10000090,2026,1,2026-01,4,4,4,0,0,4,0,0,0,1,1.0
10000090,2026,2,2026-02,7,7,7,0,0,7,0,0,0,1,1.0
10000090,2026,3,2026-03,6,6,6,0,0,6,0,0,0,1,1.0
10000095,2026,1,2026-01,2,2,2,0,0,2,0,0,0,1,1.0
10000101,2025,12,2025-12,102,102,102,0,0,102,0,0,0,1,1.0
10000101,2026,1,2026-01,216,216,216,0,0,216,0,0,0,1,1.0
10000101,2026,2,2026-02,339,339,339,0,0,339,0,0,0,1,1.0
10000101,2026,3,2026-03,159,159,159,0,0,159,0,0,0,1,1.0
10000109,2025,12,2025-12,1,2,0,1,0,0,1,0,0,2,2.0
10000110,2025,12,2025-12,1,4,0,1,0,0,0,0,1,4,4.0
10000113,2026,1,2026-01,1,3,0,1,0,0,0,1,0,3,3.0
10000114,2026,1,2026-01,9,9,9,0,0,9,0,0,0,1,1.0
10000114,2026,2,2026-02,14,14,14,0,0,14,0,0,0,1,1.0
10000114,2026,3,2026-03,4,4,4,0,0,4,0,0,0,1,1.0
