  Sale Report For Month :-- 12, 2025,  FOR- NICHOLAS           ( 31/12/2025  )  18:17:56
  D.K. DRUGS,A-8,MAHIMA PALACE,G.M ROAD,PATNA-4
  DESCRIPTION             OPENING     PURCHASE     SALE    CLOSING
===================================================================
 ABTIKA 90 MG TAB           10           0           6         4
 ABVIDA 50 MG TAB            7           0           2         5
 ABVIDA-D 10 MG TAB         16           0           3        13
 ABVIDA-M 50/1000 TAB       10           0           4         6
 ABVIDA-M 50/500 TAB         9          30          16        23
 ABVIDA-SR 100 MG TAB       17           0           5        12
 ABVIDA-TRIO 1000 TAB       10           0           0         4
 ABVIDA-TRIO 500 TAB        22           0           9        13
 ACITROM 0.5 MG TAB         10          20          10        10
 ACITROM 1 MG TAB           27          30          33        24
 ACITROM 1.5 MG TAB          9           0           0         9
 ACITROM 2 MG TAB            5          60          30        35
 ACITROM 2.5 MG TAB         18           0           0        18
 ACITROM 3 MG TAB           13          20          13        20
 ACITROM 3.5 MG TAB          9           0           0         9
 ACITROM 4 MG TAB           11          20           8        23
 AMISANT-100 MG TAB         12           0           0        12
 AMISANT-200 MG TAB         32           0          22        10
 AQUAVIRON 1 ML INJ.        25          18          30        13
 BETONIN-AST TONIC(LA       14           0          13         1
 BETONIN-AST TONIC(SM       58           0           9        49
 BILAZEST 20 MG TAB          5           0           0         5
 BILAZEST-M TAB             14           0           0        14
 BIOSUGANRIL 10 MG TA       12           0          17         0
 BISOSAFE 2.5 MG TAB         8           0           0         8
 BISOSAFE 5 MG TAB          15           0           0        15
 BISOSAFE-AM 2.5 MG T       30           0           0        30
 BISOSAFE-AM 5 MG TAB       30           0           0        30
 BISOSAFE-T 2.5 MG TA       20           0           0        20
 BISOSAFE-T 5 MG TAB        20           0           0        20
 BRIVAJOY 50 MG TAB         10           0           7         3
 CANDYCOP TOOTHPASTE         4          10           7         7
 CLARIBID 250 MG TAB        11           0           3         8
 CLARIBID 500 MG TAB        14          30          21        23
 CLARIBID ORAL SUSP          1          10           3         8
 COSYMOXYL 625 MG TAB       31           0          36        19
 CROTORAX LOTION            11           0           2         9
 CROTORAX-HC CREAM           6           0           2         4
 CURENEXT CREAM              1           0           0         1
 CYTOGARD-MR 35 MG TA       10           0           3         7
 CYTOGARD-OD 60 MG TA       24           0          11        13
 CYTOGARD-OD 80 MG TA       23           0           7        16
 DABLEXA 110 MG TAB          4          10           8         6
 DELETUS-D PLUS SY          40          55          46        49
 DELOK 20 MG CAP            10           0           0        10
 DEPSONIL 25 MG TAB         78           0          24        54
 DIPSALIC-F OINT.           29           0           9        20
 DURAJOINT-GM TAB            3           0           0         3
 ELOCON 30 GM CREAM          7           0           2         5
 ELOCON CREAM               13          24           9        28
 ELOCON LOTION               1           0           1         0
 ELOCON OINT.               13           0           8         5
 EMOLENE CREAM              21          24          31        14
 EMPEXEL 10 MG TAB           0          20           5        15
 EMPEXEL 25 MG TAB          12          10          12        10
 EMPEXEL-L 5/25 TAB         12           0           8         4
 EMPEXEL-M 12.5/1000        40           0           0        40
 EMPEXEL-M 12.5/500         17           0           0        17
 EMPEXEL-M SR 10/1000       40           0           0        40
 ENLIVA TAB                 22           0           0        22
 EPILEX CHRONO 200 MG        3           0           0         3
 EPILEX CHRONO 300 MG       12          20           8        24
 EPILEX CHRONO 500 MG       20           0           0        20
 EPILEX ORAL SUSPENSN       17          30           9        38
 EPILEX TAB                 15           0          11         4
 ESGIPYRIN TAB              23           0           8        15
 ESGIPYRIN-DS 3 ML         102           0         100         2
 ESOGA-RD CAP                2          20           7        15
 ESSENTIALE-L 1 GM CA       10           0          10         0
 FACELIN GEL                19           0           8        11
 FACELIN-AT CREAM           20           0           5        15
 FAMTAC 40 MG TAB           69           0           6        63
 FEBUSTAT 20 MG TAB         17           0          13         4
 FEBUSTAT 40 MG TAB          8          60          32        36
 FEBUSTAT 80 MG TAB         12           0           6         6
 FLAGYL 200 MG TAB         231           0          72       159
 FLAGYL 400 MG TAB         196         210         131       275
 FLAGYL 60 ML SY            28         120         105        41
 FLAGYL-ER 600 MG TAB       21           0           6        15
 FLEXJAK-ER 11 MG TAB        3           9           6         6
 FOLLIDERM-MOM TAB          20           0           0        20
 FOLLIHAIR 30`S TAB          2           0           0         2
 FOLLIHAIR-A TAB            10           0           2         8
 FOLLIHAIR-AMPM TAB          8           0           3         5
 FOLLIHAIR-NEW TAB          12           0           4         5
 FOLLIHAIR-RCP SERUM         1           0           0         1
 FORTIUS 10 MG TAB          46          70          52        64
 FORTIUS 20 MG TAB          12          10          10        12
 FORTIUS 5 MG TAB           16          30          21        25
 FORTIUS-F 10 MG TAB        12           0           0        12
 FORTIUS-F 20 MG TAB        30           0           0        30
 FORTIUS-GOLD 10 MG T       20           0           0        20
 FORTIUS-GOLD 20 MG T       20           0           0        20
