
VASAN MEDICAL AGENCIES,THANJAVUR.            
CLOSTING STOCK STATEMENT AS ON 30/11/2025             Page No:     1
--------------------------------------------------------------------
|SL.No | PRODUCT NAME         | PACKG   |L.M.SALE|  SALES |  STOCK |
--------------------------------------------------------------------
|    1 | ACITROM 1MG TAB      |  30'S   |      3 |      1 |      6 |
|    2 | ACITROM 2MG TAB      |  30'S   |      5 |      5 |      5 |
|    3 | ACITROM 3 MG         |  30'S   |      4 |      4 |      2 |
|    4 | ACITROM 4MG TAB      |  30'S   |      1 |      3 |      4 |
|    5 | ARACHITOL GUMMIES    |  30'S   |      0 |      0 |      0 |
|    6 | ARACHITOL ING 6L     |  1      |      0 |      0 |      0 |
|    7 | ARACHITOL INJ        |  3ML    |      0 |      0 |      0 |
|    8 | ARACHITOL KIDS 400IU |  15ML   |      0 |      0 |      0 |
|    9 | ARACHITOL NANO DAILY |  1,S    |      0 |      0 |      0 |
|   10 | ARACHITOL NANO SUGAR |  4;S    |      0 |      0 |      0 |
|   11 | ASCAPIL MONO TAB     |  2S     |      0 |      0 |      0 |
|   12 | AVOMINE TAB          |  10'S   |     76 |     56 |    108 |
|   13 | BETONIN AST 210 ML   |  210ML  |     17 |      3 |     20 |
|   14 | BETONIN SYRUP        |  210ML  |      0 |      0 |      0 |
|   15 | BRUFEN 200MG         |  15'S   |     18 |   1637 |    111 |
|   16 | BRUFEN 400MG         |  15'S   |    207 |    743 |    662 |
|   17 | BRUFEN 600MG         |  15'S   |     83 |    437 |    416 |
|   18 | BRUFEN ACTIVE GEL    |  30GM   |      0 |      0 |      0 |
|   19 | BRUFEN P SYRUP       |  100ML  |     10 |     28 |    110 |
|   20 | BRUFEN P TAB         |  20'S   |      0 |      0 |      0 |
|   21 | CAAT-10MG            |  10'S   |      0 |      0 |      0 |
|   22 | CAAT-20MG            |  15*S   |      0 |      0 |      0 |
|   23 | CAAT-40              |  10'S   |      0 |      0 |      0 |
|   24 | COMBINORM CAP        |  15'S   |     13 |      0 |     52 |
|   25 | CREMA - ANO 20GM GEL |  20GM   |      0 |      0 |      0 |
|   26 | CREMA DIET + 100GM   |  100GM  |      0 |      0 |      0 |
|   27 | CREMA DIET + 300GM   |  300GM  |      0 |      0 |      0 |
|   28 | CREMA DIET 140GM     |  140GM  |      0 |      0 |      0 |
|   29 | CREMA DIET 300GM     |  300GM  |      0 |      0 |      0 |
|   30 | CREMA DIET DUO 150GM |  150GM  |      0 |      0 |      0 |
|   31 | CREMA GEL - L        |  20GM   |      0 |      0 |      0 |
|   32 | CREMA GEL 30GM       |  30GM   |      0 |      0 |      0 |
|   33 | CREMAFFIN FRESH TAB  |  10'S   |      0 |      0 |      0 |
|   34 | CREMAFFIN MF PINK    |  225ML  |    191 |      2 |     77 |
|   35 | CREMAFFIN PLAIN      |  225ML  |     72 |     49 |     71 |
|   36 | CREMAFFIN PLUS       |  225ML  |    926 |    180 |     60 |
|   37 | CREMAGEL L 30GM      |  30GM   |      0 |      0 |      7 |
|   38 | CREMALAX             |  6'S    |    111 |     63 |     17 |
|   39 | DELETUS D            |  100ML  |      0 |      0 |      0 |
|   40 | DIGECAINE            |  1      |      0 |      0 |      0 |
|   41 | DIGENE ASSORTED      |  15'S   |      0 |      0 |      0 |
|   42 | DIGENE GEL MF        |  200ML  |     16 |      0 |     30 |
|   43 | DIGENE GEL MINT      |  200ML  |    213 |    244 |    164 |
|   44 | DIGENE GEL ORANGE    |  200ML  |     10 |      2 |     50 |
|   45 | DIGENE INSTA         |  1*5ML  |      0 |      0 |    427 |
|   46 | DIGENE TAB MF        |  15'S   |     22 |      8 |    120 |
|   47 | DIGENE TAB MINT      |  15'S   |   1073 |    897 |    443 |
|   48 | DIGENE TAB ORANGE    |  15'S   |     60 |     30 |    100 |
|   49 | DIGERAFT PLUS SUS. 1 |  150ML  |      3 |      0 |     64 |
|   50 | DUPHALAC SYP 150ML   |  150ML  |    764 |    268 |    259 |
|   51 | DUPHALAC SYP 250ML   |  250ML  |    407 |      8 |    107 |
|   52 | DUPHALAC SYP 450ML   |  450ML  |      0 |     60 |     60 |
|   53 | DUVADILAN 10MG       |  50'S   |      2 |      0 |      0 |
|   54 | DUVADILAN INJ        |  2ML    |      0 |      0 |      0 |
|   55 | DUVADILAN RTD.CAP    |  10     |      0 |      0 |      0 |
--------------------------------------------------------------------

VASAN MEDICAL AGENCIES,THANJAVUR.            
CLOSTING STOCK STATEMENT AS ON 30/11/2025             Page No:     2
--------------------------------------------------------------------
|SL.No | PRODUCT NAME         | PACKG   |L.M.SALE|  SALES |  STOCK |
--------------------------------------------------------------------
|   56 | ENSURE CHOC REF      |  200GM  |      0 |      6 |      6 |
|   57 | ENSURE CHOC REF      |  375GM  |      0 |      1 |      0 |
|   58 | ENSURE DIA CHO 375   |  375GM  |      6 |      4 |      4 |
|   59 | ENSURE DIAB CHOC REF |  200GM  |      0 |      0 |      0 |
|   60 | ENSURE DIAB VAN JAR  |  375GM  |      9 |     15 |      0 |
|   61 | ENSURE DIAB VANNILA  |  200GM  |     25 |     11 |     29 |
|   62 | ENSURE DIAB VANNILA  |  375GM  |     10 |      0 |      0 |
|   63 | ENSURE DIABETIC V JA |  400GM  |      0 |      0 |      0 |
|   64 | ENSURE HMB VANNILA R |  950GM  |      0 |      0 |      0 |
|   65 | ENSURE HP CHOC REF   |  200GM  |      0 |      0 |      0 |
|   66 | ENSURE HP CHOC REF   |  400GM  |      0 |      0 |      0 |
|   67 | ENSURE HP VANNILA RE |  200GM  |      0 |      0 |      0 |
|   68 | ENSURE HP VANNILA RE |  400GM  |      0 |      0 |      0 |
|   69 | ENSURE PLUS VANNILA  |  400GM  |      2 |      1 |     11 |
|   70 | ENSURE PLUS VANNILA  |  375GM  |      0 |      0 |      0 |
|   71 | ENSURE PLUS VANNILA  |  950GM  |      0 |      0 |      0 |
|   72 | ENSURE VANNILA JAR   |  375GM  |      0 |      0 |      0 |
