
VASAN MEDICAL AGENCIES,THANJAVUR.            
CLOSTING STOCK STATEMENT AS ON 31/12/2025             Page No:     1
--------------------------------------------------------------------
|SL.No | PRODUCT NAME         | PACKG   |L.M.SALE|  SALES |  STOCK |
--------------------------------------------------------------------
|    1 | ACITROM 1MG TAB      |  30'S   |      1 |      6 |      0 |
|    2 | ACITROM 2MG TAB      |  30'S   |      5 |     11 |      4 |
|    3 | ACITROM 3 MG         |  30'S   |      4 |      2 |     11 |
|    4 | ACITROM 4MG TAB      |  30'S   |      3 |      3 |      1 |
|    5 | ARACHITOL GUMMIES    |  30'S   |      0 |      0 |      0 |
|    6 | ARACHITOL ING 6L     |  1      |      0 |      0 |      0 |
|    7 | ARACHITOL INJ        |  3ML    |      0 |      0 |      0 |
|    8 | ARACHITOL KIDS 400IU |  15ML   |      0 |      0 |      0 |
|    9 | ARACHITOL NANO DAILY |  1,S    |      0 |      0 |      0 |
|   10 | ARACHITOL NANO SUGAR |  4;S    |      0 |      0 |      0 |
|   11 | ASCAPIL MONO TAB     |  2S     |      0 |      0 |      0 |
|   12 | AVOMINE TAB          |  10'S   |     56 |     53 |    187 |
|   13 | BETONIN AST 210 ML   |  210ML  |      3 |      2 |     18 |
|   14 | BETONIN SYRUP        |  210ML  |      0 |      0 |      0 |
|   15 | BRUFEN 200MG         |  15'S   |   1637 |    211 |     60 |
|   16 | BRUFEN 400MG         |  15'S   |    743 |   1136 |    560 |
|   17 | BRUFEN 600MG         |  15'S   |    437 |    136 |    370 |
|   18 | BRUFEN ACTIVE GEL    |  30GM   |      0 |      0 |      0 |
|   19 | BRUFEN P SYRUP       |  100ML  |     28 |    130 |    180 |
|   20 | BRUFEN P TAB         |  20'S   |      0 |      0 |      0 |
|   21 | CAAT-10MG            |  10'S   |      0 |      0 |      0 |
|   22 | CAAT-20MG            |  15*S   |      0 |      0 |      0 |
|   23 | CAAT-40              |  10'S   |      0 |      0 |      0 |
|   24 | COMBINORM CAP        |  15'S   |      0 |      0 |     52 |
|   25 | CREMA - ANO 20GM GEL |  20GM   |      0 |      0 |      0 |
|   26 | CREMA DIET + 100GM   |  100GM  |      0 |      0 |      0 |
|   27 | CREMA DIET + 300GM   |  300GM  |      0 |      0 |      0 |
|   28 | CREMA DIET 140GM     |  140GM  |      0 |      0 |      0 |
|   29 | CREMA DIET 300GM     |  300GM  |      0 |      0 |      0 |
|   30 | CREMA DIET DUO 150GM |  150GM  |      0 |      0 |      0 |
|   31 | CREMA GEL - L        |  20GM   |      0 |      0 |      0 |
|   32 | CREMA GEL 30GM       |  30GM   |      0 |      0 |      0 |
|   33 | CREMAFFIN FRESH TAB  |  10'S   |      0 |      0 |      0 |
|   34 | CREMAFFIN MF PINK    |  225ML  |      2 |     65 |     73 |
|   35 | CREMAFFIN PLAIN      |  225ML  |     49 |     67 |     64 |
|   36 | CREMAFFIN PLUS       |  225ML  |    180 |    320 |     41 |
|   37 | CREMAGEL L 30GM      |  30GM   |      0 |      2 |      5 |
|   38 | CREMALAX             |  6'S    |     63 |      2 |     15 |
|   39 | DELETUS D            |  100ML  |      0 |      0 |      0 |
|   40 | DIGECAINE            |  1      |      0 |      0 |      0 |
|   41 | DIGENE ASSORTED      |  15'S   |      0 |      0 |      0 |
|   42 | DIGENE GEL MF        |  200ML  |      0 |      0 |     30 |
|   43 | DIGENE GEL MINT      |  200ML  |    244 |    255 |    112 |
|   44 | DIGENE GEL ORANGE    |  200ML  |      2 |     12 |     36 |
|   45 | DIGENE INSTA         |  5ML    |      0 |     10 |    467 |
|   46 | DIGENE TAB MF        |  15'S   |      8 |     10 |    110 |
|   47 | DIGENE TAB MINT      |  15'S   |    897 |    649 |   1017 |
|   48 | DIGENE TAB ORANGE    |  15'S   |     30 |     20 |     80 |
|   49 | DIGERAFT PLUS SUS. 1 |  150ML  |      0 |      0 |     64 |
|   50 | DUPHALAC SYP 150ML   |  150ML  |    268 |    525 |     34 |
|   51 | DUPHALAC SYP 250ML   |  250ML  |      8 |    606 |     21 |
|   52 | DUPHALAC SYP 450ML   |  450ML  |     60 |     60 |      0 |
|   53 | DUVADILAN 10MG       |  50'S   |      0 |      0 |      0 |
|   54 | DUVADILAN INJ        |  2ML    |      0 |      0 |      0 |
|   55 | DUVADILAN RTD.CAP    |  10     |      0 |      0 |      0 |
--------------------------------------------------------------------

VASAN MEDICAL AGENCIES,THANJAVUR.            
CLOSTING STOCK STATEMENT AS ON 31/12/2025             Page No:     2
--------------------------------------------------------------------
|SL.No | PRODUCT NAME         | PACKG   |L.M.SALE|  SALES |  STOCK |
--------------------------------------------------------------------
|   56 | ENSURE CHOC REF      |  200GM  |      6 |     12 |     18 |
|   57 | ENSURE CHOC REF      |  375GM  |      1 |     10 |     14 |
|   58 | ENSURE DIA CHO 375   |  375GM  |      4 |      5 |      6 |
|   59 | ENSURE DIAB CHOC REF |  200GM  |      0 |      0 |      0 |
|   60 | ENSURE DIAB VAN JAR  |  375GM  |     15 |      0 |      0 |
|   61 | ENSURE DIAB VANNILA  |  200GM  |     11 |     24 |     30 |
|   62 | ENSURE DIAB VANNILA  |  375GM  |      0 |     16 |     10 |
|   63 | ENSURE DIABETIC V JA |  400GM  |      0 |      0 |      0 |
|   64 | ENSURE HMB VANNILA R |  950GM  |      0 |      0 |      0 |
|   65 | ENSURE HP CHOC REF   |  200GM  |      0 |      0 |      0 |
|   66 | ENSURE HP CHOC REF   |  400GM  |      0 |      0 |      0 |
